year,table,row_count,start_date,end_date,complete_year,update_ym
2007,confinement,1246509,2007-01-01 00:00:00,2007-12-31 00:00:00,1,202207
2008,confinement,1252421,2008-01-01 00:00:00,2008-12-31 00:00:00,1,202207
2009,confinement,1334975,2009-01-01 00:00:00,2009-12-31 00:00:00,1,202207
2010,confinement,1331254,2010-01-01 00:00:00,2010-12-31 00:00:00,1,202207
2011,confinement,1353884,2011-01-01 00:00:00,2011-12-31 00:00:00,1,202207
2012,confinement,1421553,2012-01-01 00:00:00,2012-12-31 00:00:00,1,202207
2013,confinement,1479052,2013-01-01 00:00:00,2013-12-31 00:00:00,1,202207
2014,confinement,1420858,2014-01-01 00:00:00,2014-12-31 00:00:00,1,202207
2015,confinement,1560258,2015-01-01 00:00:00,2015-12-31 00:00:00,1,202207
2016,confinement,1873280,2016-01-01 00:00:00,2016-12-31 00:00:00,1,202207
2017,confinement,2161136,2017-01-01 00:00:00,2017-12-31 00:00:00,1,202207
2018,confinement,2226447,2018-01-01 00:00:00,2018-12-31 00:00:00,1,202207
2019,confinement,2296327,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202207
2020,confinement,2065416,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202207
2021,confinement,2231158,2021-01-01 00:00:00,2021-12-31 00:00:00,1,202207
2022,confinement,548026,2022-01-01 00:00:00,2022-03-31 00:00:00,0,202207
2007,diagnostic,299413638,,,1,202207
2008,diagnostic,332173539,,,1,202207
2009,diagnostic,381248239,,,1,202207
2010,diagnostic,392558479,,,1,202207
2011,diagnostic,410769469,,,1,202207
2012,diagnostic,448688694,,,1,202207
2013,diagnostic,482908021,,,1,202207
2014,diagnostic,480966792,,,1,202207
2015,diagnostic,555705100,,,1,202207
2016,diagnostic,709664915,,,1,202207
2017,diagnostic,858912934,,,1,202207
2018,diagnostic,942374362,,,1,202207
2019,diagnostic,1025875776,,,1,202207
2020,diagnostic,1000121819,,,1,202207
2021,diagnostic,1153432209,,,1,202207
2022,diagnostic,282737286,,,0,202207
,mbr_co_enroll,91328393,2007-01-01 00:00:00,2022-03-31 00:00:00,,202207
,mbr_enroll,155540055,2007-01-01 00:00:00,2022-03-31 00:00:00,,202207
2007,lab_result,70145862,2007-01-01 00:00:00,2007-12-31 00:00:00,1,202207
2008,lab_result,121211788,2008-01-01 00:00:00,2008-12-31 00:00:00,1,202207
2009,lab_result,167522579,2009-01-01 00:00:00,2009-12-31 00:00:00,1,202207
2010,lab_result,162515079,2010-01-01 00:00:00,2010-12-31 00:00:00,1,202207
2011,lab_result,151308604,2011-01-01 00:00:00,2011-12-31 00:00:00,1,202207
2012,lab_result,169811965,2012-01-01 00:00:00,2012-12-31 00:00:00,1,202207
2013,lab_result,250236016,2013-01-01 00:00:00,2013-12-31 00:00:00,1,202207
2014,lab_result,242943549,2014-01-01 00:00:00,2014-12-31 00:00:00,1,202207
2015,lab_result,303106503,2015-01-01 00:00:00,2015-12-31 00:00:00,1,202207
2016,lab_result,399105902,2016-01-01 00:00:00,2016-12-31 00:00:00,1,202207
2017,lab_result,460671969,2017-01-01 00:00:00,2017-12-31 00:00:00,1,202207
2018,lab_result,505195685,2018-01-01 00:00:00,2018-12-31 00:00:00,1,202207
2019,lab_result,514367885,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202207
2020,lab_result,539969676,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202207
