File Name,Records,Distinct Patients,update_ym
zip5_proc2018q2,992131,243923,202210
zip5_proc2018q3,980500,243365,202210
zip5_proc2018q4,1023020,248926,202210
zip5_proc2019q1,1062882,251674,202210
zip5_proc2019q2,1042214,249727,202210
zip5_proc2019q3,1037458,250173,202210
zip5_proc2019q4,1061261,251160,202210
zip5_proc2020q1,1053425,241131,202210
zip5_proc2020q2,946467,208444,202210
zip5_proc2020q3,1072723,241066,202210
zip5_proc2020q4,1142157,250936,202210
zip5_proc2021q1,1136120,242976,202210
zip5_proc2021q2,1063439,237549,202210
zip5_proc2021q3,1121446,246103,202210
zip5_proc2021q4,1062107,239534,202210
zip5_proc2022q1,1047982,238331,202210
zip5_proc2022q2,908908,223499,202210
